"Giving_Team","Receiving_Team","Same.School","Flair_1_Points","Flair_2_Points","Total_Points_Given"
"Air Force","Air Force",TRUE,32.644,8.684,41.328
"Air Force","Akron",FALSE,2,0.334,2.334
"Air Force","Alabama",FALSE,2,6.346,8.346
"Air Force","Appalachian State",FALSE,NA,2.004,2.004
"Air Force","Arizona",FALSE,NA,1.002,1.002
"Air Force","Arizona State",FALSE,NA,0.334,0.334
"Air Force","Arkansas",FALSE,1,0.668,1.668
"Air Force","Arkansas State",FALSE,NA,0.668,0.668
"Air Force","Army",FALSE,8.662,7.014,15.676
"Air Force","Auburn",FALSE,1,2.338,3.338
"Air Force","BYU",FALSE,3.332,0.668,4
"Air Force","Ball State",FALSE,NA,NA,0
"Air Force","Baylor",FALSE,1,1.002,2.002
"Air Force","Boise State",FALSE,2,1.002,3.002
"Air Force","Boston College",FALSE,NA,1.336,1.336
"Air Force","Bowling Green",FALSE,0.666,NA,0.666
"Air Force","Buffalo",FALSE,1.666,NA,1.666
"Air Force","California",FALSE,1,3.34,4.34
"Air Force","Central Michigan",FALSE,0.666,NA,0.666
"Air Force","Charlotte",FALSE,NA,NA,0
"Air Force","Cincinnati",FALSE,NA,0.668,0.668
"Air Force","Clemson",FALSE,3,4.008,7.008
"Air Force","Coastal Carolina",FALSE,NA,NA,0
"Air Force","Colorado",FALSE,0.666,0.334,1
"Air Force","Colorado State",FALSE,2.332,2.004,4.336
"Air Force","Connecticut",FALSE,NA,1.67,1.67
"Air Force","Duke",FALSE,NA,NA,0
"Air Force","East Carolina",FALSE,NA,NA,0
"Air Force","Eastern Michigan",FALSE,NA,0.334,0.334
"Air Force","FIU",FALSE,NA,NA,0
"Air Force","Florida",FALSE,1,1.336,2.336
"Air Force","Florida Atlantic",FALSE,NA,NA,0
"Air Force","Florida State",FALSE,1.998,20.04,22.038
"Air Force","Fresno State",FALSE,NA,NA,0
"Air Force","Georgia",FALSE,1,4.342,5.342
"Air Force","Georgia Southern",FALSE,NA,0.668,0.668
"Air Force","Georgia State",FALSE,NA,0.334,0.334
"Air Force","Georgia Tech",FALSE,NA,1.336,1.336
"Air Force","Hawai'i",FALSE,0.666,1.002,1.668
"Air Force","Houston",FALSE,1,1.002,2.002
"Air Force","Illinois",FALSE,1.666,3.674,5.34
"Air Force","Indiana",FALSE,NA,0.334,0.334
"Air Force","Iowa",FALSE,NA,1.002,1.002
"Air Force","Iowa State",FALSE,1,1.336,2.336
"Air Force","Kansas",FALSE,1.998,2.004,4.002
"Air Force","Kansas State",FALSE,1,1.67,2.67
"Air Force","Kent State",FALSE,NA,1.336,1.336
